Pressure [bar],CO2 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,0.10091169532752,-11.576384392174
0.8,0.39653620818372,-11.841999368104
1.4,0.71810294902148,-12.023439175875
2.0,1.0437607045347,-12.121308938831
2.6,1.3820811245195,-12.160209772767
3.2,1.7378045910601,-12.462939895072
3.8,2.164016889826,-12.448542565663
4.4,2.4447384206502,-12.727265886774
5.0,2.7972799868878,-12.731744032326
5.6,3.2244988051373,-12.934664388516
6.2,3.505772298259,-12.798445952126
6.8,3.9983499462042,-13.363940119561
7.4,4.490375631852,-13.484098176648
8.0,4.9640566882012,-13.881002968247
8.6,5.356761628673,-14.133053636311
9.2,6.1225281455004,-14.253211693398
9.8,6.7894609427084,-14.781848295129
10.2,7.1418726354642,-14.68741538001
