Pressure [bar],CO2 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,4.820645840689,-32.886424633958
0.29833522669644,6.246613486729,-34.541295136897
0.42606078962965,7.3872165880609,-35.710981433905
0.59768993355653,8.1007033978848,-38.035954619906
0.83850815268161,8.6033180116552,-38.566936136955
1.1961156309964,8.9896219521834,-40.180586997913
1.7696133817549,9.3002163160436,-39.058338529845
2.3696133817549,9.5217719522389,-39.522987536687
2.9696133817549,9.6623265903576,-37.522984377209
3.5696133817549,9.7653986503518,-35.847297148986
4.1696133817549,9.7705391756528,-39.462933576114
4.7696133817549,9.952036941225,-37.275948799814
5.3696133817549,10.083567995721,-34.438974749112
5.9696133817549,10.019467354871,-36.731859353305
6.5696133817549,10.156833056485,-34.001746277219
7.1696133817549,10.051718870005,-36.317295984968
7.7696133817549,10.191951596577,-41.634942755232
8.3696133817549,10.198983352376,-35.693079909872
8.9696133817549,10.315988147375,-34.367771070814
9.5696133817549,10.284088722997,-40.954562287463
10.169613381755,10.317155076787,-38.319044174503
10.2,10.33515194537,-40.14569612465
