Pressure [bar],CO2 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,0.83291024319208,-22.075356896394
0.57321476070762,2.4141169422742,-24.489341830669
1.0297642352907,4.0520915295696,-24.949200069841
1.5996662922903,5.4762635819184,-25.263408079951
2.1996662922903,6.4985491162372,-25.08602471045
2.7996662922903,7.0904731346469,-24.810283189078
3.3996662922903,7.6856999217059,-23.574233701662
3.9996662922903,8.1722333375007,-23.016105443449
4.5996662922903,8.5249590961112,-23.229324287247
5.1996662922903,8.9422585345048,-22.586656772509
5.7996662922903,9.2281342690249,-22.874685423994
6.3996662922903,9.5618132339959,-22.295795232513
6.9996662922903,9.7825855213305,-23.092040358185
7.5996662922903,10.023257196718,-22.23898464327
8.1996662922903,10.345529607306,-23.873307724926
8.7996662922903,10.618475706161,-23.182141960373
9.3996662922903,10.778150912291,-23.252097062516
9.9996662922903,10.973701304702,-23.000494292152
10.2,11.056378129939,-23.739298263118
