Pressure [bar],N2 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,0.066695287723837,-12.409928745437
0.8,0.26090990548955,-12.394786610461
1.4,0.45474684080225,-12.3401642929
2.0,0.64460094297417,-12.217525213473
2.6,0.82257521526066,-12.463056878934
3.2,1.0207039966302,-12.514435326299
3.8,1.1632791226396,-12.609694611426
4.4,1.3411332232365,-12.234575839964
5.0,1.4821804520497,-12.715430312705
5.6,1.6412362669175,-12.519631504993
6.2,1.7965324246394,-12.722611558704
6.8,1.9078285765863,-12.396545359308
7.4,2.0951934080452,-12.815863410741
8.0,2.1876226047261,-12.358006368844
8.6,2.3478286343371,-12.72957097603
9.2,2.42576855873,-12.435639420319
9.8,2.6723093636211,-12.39140837927
10.2,2.725047567968,-12.707157300475
