Pressure [bar],N2 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,0.085507769793625,-13.668933509599
0.8,0.333753463512,-13.867441487283
1.4,0.57555089462929,-13.751569845269
2.0,0.790015638829,-13.783138027654
2.6,0.98102989785685,-13.880716702834
3.2,1.1769445053569,-13.758353246365
3.8,1.3552609019585,-13.580228147631
4.4,1.5662904356583,-13.86487648932
5.0,1.7625195925535,-14.312934074979
5.6,1.9229232288614,-13.841621810381
6.2,2.0912237105114,-13.808178643586
6.8,2.2189804306464,-13.691107813059
7.4,2.3802283837519,-13.683753544021
8.0,2.5583709504245,-13.777688674931
8.6,2.6564358631782,-13.844295644076
9.2,2.8014845224322,-13.77010800429
9.8,2.9188031692168,-13.89638588877
10.2,3.0322478918713,-13.797687843489
