Pressure [bar],CO2 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,0.33512253826455,-18.743934216325
0.8,1.2789111847608,-18.07993913846
1.4,2.3373740833736,-18.28194199862
2.0,3.316687096037,-18.064518137903
2.6,4.4442605706102,-18.401384433747
3.2,5.5227085816563,-19.088875724394
3.8,6.6272962016912,-19.398039044507
4.4,7.8160576130127,-19.907228388749
5.0,8.7154386766286,-20.506477763089
5.6,9.6975144121932,-21.00904750027
6.2,10.609646504584,-21.243283696258
6.8,11.348959653644,-21.854432499397
7.4,11.990319399655,-22.656155828823
8.0,12.673859548854,-22.623783974791
8.6,13.326380695386,-23.192622201159
9.2,13.637956333846,-23.736589176291
9.8,14.04202793504,-23.772039111022
10.2,14.353578071442,-24.471174162115
