Pressure [bar],CO2 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,0.18193401274704,-16.546048988551
0.8,0.74540221342536,-17.038566511187
1.4,1.306646125258,-17.556071104903
2.0,1.9607609614884,-18.409320130037
2.6,2.5260140853145,-18.973423378481
3.2,3.1147183532671,-19.553805425989
3.8,3.7397892861746,-20.076813416145
4.4,4.1770222297693,-20.680794858364
5.0,4.589769689157,-21.399388723986
5.6,4.9991303712899,-21.808157691252
6.2,5.328901787935,-21.935572572398
6.8,5.5671752979882,-22.443778487275
7.4,5.8669600057502,-22.820781971016
8.0,6.1088216690032,-23.157410973369
8.6,6.2412629665699,-23.184088033058
9.2,6.4864931001736,-24.020800678457
9.8,6.6022476546714,-23.683814821282
10.2,6.729398256959,-23.551470487973
